Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Reserve Spot,500,10,2,33,3.07,13.200%,99.50249,27.29,41.72,280.9
TOTAL,500,10,2,33,3.07,13.200%,99.50249,27.29,41.72,280.9
