Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Reserve Spot,500,10,11,13,14,16,2,33,13.200%,99.50249,27.29,41.72
TOTAL,500,10,11,13,14,16,2,33,13.200%,99.50249,27.29,41.72
