Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Reserve Spot,210,13,13,15,15,19,11,27,0.000%,42.56182,11.47,17.84
TOTAL,210,13,13,15,15,19,11,27,0.000%,42.56182,11.47,17.84
